YYYY-MM,Hyderabad: (Worldwide)
2013-01,25
2013-02,22
2013-03,30
2013-04,22
2013-05,23
2013-06,27
2013-07,25
2013-08,27
2013-09,22
2013-10,24
2013-11,25
2013-12,27
2014-01,26
2014-02,26
2014-03,24
2014-04,26
2014-05,28
2014-06,28
2014-07,29
2014-08,28
2014-09,30
2014-10,28
2014-11,30
2014-12,33
2015-01,28
2015-02,26
2015-03,29
2015-04,31
2015-05,37
2015-06,30
2015-07,58
2015-08,32
2015-09,31
2015-10,36
2015-11,31
2015-12,47
2016-01,30
2016-02,29
2016-03,29
2016-04,31
2016-05,36
2016-06,34
2016-07,40
2016-08,47
2016-09,32
2016-10,32
2016-11,37
2016-12,49
2017-01,43
2017-02,36
2017-03,33
2017-04,43
2017-05,47
2017-06,51
2017-07,47
2017-08,48
2017-09,51
2017-10,49
2017-11,52
2017-12,66
2018-01,56
2018-02,46
2018-03,46
2018-04,50
2018-05,58
2018-06,54
2018-07,49
2018-08,49
2018-09,45
2018-10,57
2018-11,57
2018-12,65
2019-01,56
2019-02,46
2019-03,54
2019-04,55
2019-05,57
2019-06,57
2019-07,56
2019-08,61
2019-09,52
2019-10,56
2019-11,59
2019-12,70
2020-01,63
2020-02,56
2020-03,28
2020-04,12
2020-05,15
2020-06,18
2020-07,18
2020-08,20
2020-09,26
2020-10,34
2020-11,38
2020-12,54
2021-01,55
2021-02,50
2021-03,45
2021-04,27
2021-05,17
2021-06,29
2021-07,46
2021-08,48
2021-09,41
2021-10,46
2021-11,49
2021-12,53
2022-01,46
2022-02,56
2022-03,62
2022-04,61
2022-05,71
2022-06,72
2022-07,65
2022-08,69
2022-09,66
2022-10,71
2022-11,70
2022-12,81
2023-01,76
2023-02,64
2023-03,64
2023-04,77
2023-05,85
2023-06,80
2023-07,85
2023-08,79
2023-09,72
2023-10,70
2023-11,69
2023-12,100
