Dist,Month,2014_Population,2015_Population,2016_Population,2017_Population,2018_Population,2019_Population,2020_Population,2021_Population,2022_Population,2023_Population
Hyderabad,January ,7587,14454,15865,19286,35379,35920,25174,758,575,20226
Hyderabad,February,7871,10947,29646,18097,30414,25621,16521,814,592,18838
Hyderabad,March,7683,8750,13019,13875,27535,21929,3724,294,1907,20599
Hyderabad,April,3314,6560,8402,12996,20830,18267,NA,90,4959,5802
Hyderabad,May ,1962,6959,8522,12983,21554,17317,NA,158,7841,8674
Hyderabad,June,2767,7813,10284,12486,24677,20077,NA,79,5241,9320
Hyderabad,July,5931,12274,17142,18144,17456,27874,NA,131,6972,12893
Hyderabad,August,3759,10604,12842,16985,31217,22725,NA,169,13256,7979
Hyderabad,September,4258,7292,9397,27856,22809,34018,6,343,7828,17984
Hyderabad,October,7836,9758,12808,26368,30072,28706,76,931,5206,11021
Hyderabad,November,4826,12034,8084,29170,23487,32762,128,758,4524,13031
Hyderabad,December,12257,15393,17620,38933,29358,34084,230,1220,9275,14178
